feature,importance
Production,0.16605842740525872
Area,0.10425382496824395
Fertilizer,0.08488204146726555
Pesticide,0.07386204589310827
Annual_Rainfall,0.056803176755598005
Crop_Year,0.0564555877303527
Crop_Sesamum,0.020841568347046497
State_Puducherry,0.015082860320272253
State_Chhattisgarh,0.015009144580751307
State_Tamil Nadu,0.011344409686466416
Crop_Sugarcane,0.01115268937782433
Crop_Groundnut,0.009886540927113085
Crop_Moong(Green Gram),0.009666485462271331
State_Delhi,0.009111795731453964
Crop_Ragi,0.008835186013150977
State_Maharashtra,0.008790761689137611
Season_Kharif,0.008702337371688714
Crop_Jowar,0.008383233244692982
Crop_Potato,0.00816839905028394
Crop_Urad,0.008004334662643338
Season_Whole Year,0.007801347074324095
Crop_Dry chillies,0.007758267712702258
Crop_Castor seed,0.0076412512858134475
Crop_Rice,0.007589430658555069
Crop_Rapeseed &Mustard,0.007388733755133222
Crop_Small millets,0.0072382141401268725
Crop_Bajra,0.007224257152276691
State_Punjab,0.007067488799029795
State_Karnataka,0.00693682379904858
Season_Rabi,0.0068926209850949235
Crop_Horse-gram,0.006719658609504235
Crop_Peas & beans (Pulses),0.006709745490174066
Crop_Arhar/Tur,0.006641398623157768
State_Andhra Pradesh,0.0066115897365652595
Crop_Masoor,0.005902097309734842
Crop_Other Kharif pulses,0.005862754871348382
Crop_Soyabean,0.005788365504679427
Crop_Other  Rabi pulses,0.005653580897534358
Crop_Sunflower,0.005531282135575464
State_Madhya Pradesh,0.005118702529753337
Crop_Arecanut,0.004978958233723604
State_Sikkim,0.004956731470157378
Crop_Linseed,0.00482196412885504
State_West Bengal,0.004677916791633917
State_Odisha,0.004638274947708191
State_Gujarat,0.004529485892356391
Crop_Sweet potato,0.004453250765514356
Crop_Sannhamp,0.004356077868906407
Crop_Wheat,0.004286853459217676
Crop_other oilseeds,0.004277616770364529
Season_Winter,0.004151378816980316
Crop_Turmeric,0.004134224062802291
State_Jharkhand,0.00410500864906953
State_Nagaland,0.004100952902461791
Season_Summer,0.00401419247227132
Crop_Garlic,0.003950668594885189
State_Bihar,0.00393987812003174
Crop_Onion,0.003881304291924216
State_Manipur,0.003754351273822739
State_Haryana,0.0036933867440208787
Crop_Tobacco,0.0035721196726331826
Crop_Banana,0.0035299732769437714
Crop_Maize,0.003457973144854838
Crop_Mesta,0.0034195361499547885
Crop_Ginger,0.003395041114200205
Crop_Guar seed,0.0033859676050164004
Crop_Barley,0.0033836460310202997
Crop_Tapioca,0.0032894439811043783
Crop_Niger seed,0.003270912428062866
Crop_Safflower,0.0032668871750538863
Crop_Black pepper,0.0032085185602240217
Season_Autumn,0.003077476411391721
State_Kerala,0.002942473134543737
Crop_Other Cereals,0.0029421687871328925
Crop_Jute,0.002605218574396769
State_Himachal Pradesh,0.002581780724209806
State_Telangana,0.0025065977086802787
State_Jammu and Kashmir,0.0024325064355402094
State_Mizoram,0.0023667829998148824
State_Uttarakhand,0.0022463341208468707
State_Goa,0.0021516334068903582
Crop_Coriander,0.002083212050872255
Crop_Moth,0.0020620611819847363
State_Assam,0.0019860786429355343
State_Uttar Pradesh,0.00177296325590827
Crop_Gram,0.001771325491562971
Crop_Cashewnut,0.001770859452396849
Crop_Cowpea(Lobia),0.001734862957670585
Crop_Cotton(lint),0.0016722786626162558
State_Meghalaya,0.0015895333703830332
State_Tripura,0.0013491369906506142
Crop_Khesari,0.001271027238039599
State_Arunachal Pradesh,0.0010955477884698338
Crop_Cardamom,0.0009277145976682947
Crop_Coconut,0.0005109279708022191
Crop_Oilseeds total,0.0002827485740256439
Crop_Other Summer Pulses,1.1792320033710761e-05
